1	0.0	0.0	0.0	0.0028352707
11	0.032448377	0.032448377	0.0029498525	0.0256592
21	0.050147492	0.050147492	0.0023879758	0.044761837
31	0.056047197	0.056047197	0.0018079741	0.06294301
41	0.061946902	0.061946902	0.0015109001	0.08069889
51	0.064896755	0.064896755	0.0012724854	0.09569039
61	0.06784661	0.06784661	0.0011122394	0.10961866
71	0.073746316	0.073746316	0.0010386804	0.123227954
81	0.076696165	0.076696165	9.4686623E-4	0.13634108
91	0.07964602	0.07964602	8.7523094E-4	0.14867452
101	0.07964602	0.07964602	7.8857446E-4	0.1601928
111	0.07964602	0.07964602	7.175317E-4	0.1710377
121	0.07964602	0.07964602	6.5823155E-4	0.18152821
131	0.07964602	0.07964602	6.0798484E-4	0.1911327
141	0.085545726	0.085545726	6.0670724E-4	0.20009923
151	0.085545726	0.085545726	5.6652795E-4	0.20938474
161	0.085545726	0.085545726	5.313399E-4	0.21817409
171	0.085545726	0.085545726	5.002674E-4	0.22646725
181	0.088495575	0.088495575	4.8892584E-4	0.23511483
191	0.088495575	0.088495575	4.6332763E-4	0.24354976
201	0.088495575	0.088495575	4.402765E-4	0.2519847
211	0.09144543	0.09144543	4.3339064E-4	0.26063228
221	0.09144543	0.09144543	4.1378022E-4	0.26825204
231	0.09144543	0.09144543	3.9586765E-4	0.27555287
241	0.09144543	0.09144543	3.794416E-4	0.28296003
251	0.09144543	0.09144543	3.6432443E-4	0.29050893
261	0.09144543	0.09144543	3.5036562E-4	0.2983768
271	0.09144543	0.09144543	3.37437E-4	0.3053941
281	0.097345136	0.097345136	3.4642397E-4	0.31280124
291	0.097345136	0.097345136	3.3451937E-4	0.31957045
301	0.097345136	0.097345136	3.2340575E-4	0.3268004
