1	0.0147492625	0.0147492625	0.0147492625	0.011552321
11	0.050147492	0.050147492	0.004558863	0.10817494
21	0.07964602	0.07964602	0.0037926675	0.18872324
31	0.10324484	0.10324484	0.0033304787	0.2588144
41	0.13274336	0.13274336	0.003237643	0.3232177
51	0.13864307	0.13864307	0.0027184915	0.38239244
61	0.15634218	0.15634218	0.0025629867	0.43503144
71	0.1740413	0.1740413	0.002451286	0.4821946
81	0.18879056	0.18879056	0.0023307477	0.5227867
91	0.20058997	0.20058997	0.0022042855	0.55684304
101	0.20943953	0.20943953	0.0020736586	0.5873313
111	0.21533923	0.21533923	0.0019399931	0.61467534
121	0.22713864	0.22713864	0.0018771789	0.63823926
131	0.23303835	0.23303835	0.0017789187	0.66120255
141	0.2359882	0.2359882	0.0016736751	0.6813396
151	0.24188791	0.24188791	0.0016019066	0.69949836
161	0.24483776	0.24483776	0.0015207314	0.71631455
171	0.25073746	0.25073746	0.0014663009	0.73221225
181	0.25073746	0.25073746	0.0013852898	0.7469441
191	0.25073746	0.25073746	0.0013127616	0.7608281
201	0.25368732	0.25368732	0.0012621259	0.7749594
211	0.25368732	0.25368732	0.0012023095	0.78831345
221	0.25663716	0.25663716	0.0011612541	0.80089027
231	0.25663716	0.25663716	0.0011109834	0.8114534
241	0.25958702	0.25958702	0.0010771246	0.82131
251	0.26253688	0.26253688	0.0010459636	0.8308132
261	0.26843658	0.26843658	0.0010284926	0.8396453
271	0.27138644	0.27138644	0.0010014259	0.84734684
281	0.27138644	0.27138644	9.6578803E-4	0.8555077
291	0.27138644	0.27138644	9.325994E-4	0.8631032
301	0.27138644	0.27138644	9.0161606E-4	0.8708754
