1	4	0.9983367983367983
1	5	4.158004158004158E-4
1	3	4.158004158004158E-4
1	2	4.158004158004158E-4
1	1	4.158004158004158E-4
2	3	0.9929203539823009
2	5	0.001769911504424779
2	4	0.001769911504424779
2	2	0.001769911504424779
2	1	0.001769911504424779
3	2	0.9993655828707375
3	5	1.5860428231562253E-4
3	4	1.5860428231562253E-4
3	3	1.5860428231562253E-4
3	1	1.5860428231562253E-4
4	4	0.9933884297520661
4	5	0.0016528925619834713
4	3	0.0016528925619834713
4	2	0.0016528925619834713
4	1	0.0016528925619834713
5	3	0.9393103448275861
5	5	0.04275862068965517
5	1	0.01517241379310345
5	4	0.0013793103448275863
5	2	0.0013793103448275863
6	1	0.9987321711568939
6	5	3.169572107765452E-4
6	4	3.169572107765452E-4
6	3	3.169572107765452E-4
6	2	3.169572107765452E-4
7	1	0.8133333333333332
7	4	0.14666666666666667
7	5	0.013333333333333334
7	3	0.013333333333333334
7	2	0.013333333333333334
8	3	0.9972125435540069
8	5	6.968641114982578E-4
8	4	6.968641114982578E-4
8	2	6.968641114982578E-4
8	1	6.968641114982578E-4
9	2	0.5658536585365853
9	4	0.19999999999999998
9	3	0.12682926829268293
9	5	0.10243902439024391
9	1	0.004878048780487805
10	2	0.5203463203463203
10	4	0.2
10	3	0.17835497835497838
10	5	0.10043290043290043
10	1	8.658008658008658E-4
11	3	0.7975103734439833
11	4	0.2
11	5	8.298755186721993E-4
11	2	8.298755186721993E-4
11	1	8.298755186721993E-4
12	3	0.8615384615384615
12	1	0.0923076923076923
12	5	0.015384615384615385
12	4	0.015384615384615385
12	2	0.015384615384615385
13	3	0.968
13	5	0.008
13	4	0.008
13	2	0.008
13	1	0.008
14	1	0.9813953488372094
14	5	0.004651162790697674
14	4	0.004651162790697674
14	3	0.004651162790697674
14	2	0.004651162790697674
15	5	0.9984877126654065
15	4	3.780718336483932E-4
15	3	3.780718336483932E-4
15	2	3.780718336483932E-4
15	1	3.780718336483932E-4
16	5	0.9836734693877551
16	4	0.004081632653061225
16	3	0.004081632653061225
16	2	0.004081632653061225
16	1	0.004081632653061225
17	5	0.9933884297520661
17	4	0.0016528925619834713
17	3	0.0016528925619834713
17	2	0.0016528925619834713
17	1	0.0016528925619834713
18	2	0.9783783783783785
18	5	0.005405405405405406
18	4	0.005405405405405406
18	3	0.005405405405405406
18	1	0.005405405405405406
19	4	0.999791720906014
19	5	5.206977349648529E-5
19	3	5.206977349648529E-5
19	2	5.206977349648529E-5
19	1	5.206977349648529E-5
